,Time,Source,Destination,Protocol,Length
1,0,fe80::c60:a2ff:fec9:ef75,ff02::1,ICMPv6,142
2,1.967105,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::2005,TCP,75
3,1.99401,2404:6800:4002:81c::2005,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
4,3.262656,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::23e3:cb27,TCP,75
5,3.369002,64:ff9b::23e3:cb27,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
6,6.165803,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,120
7,6.172463,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
8,6.172674,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
9,6.249274,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
10,8.817801,192.168.150.136,192.168.150.153,DNS,76
11,8.817936,192.168.150.136,192.168.150.153,DNS,76
12,8.81803,192.168.150.136,192.168.150.153,DNS,76
13,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374
14,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374
15,8.818262,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,880
16,8.818326,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,262
17,8.8684,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
18,8.880431,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
19,8.882381,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
20,8.883687,192.168.150.153,192.168.150.136,DNS,187
21,8.883687,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
22,8.883687,192.168.150.153,192.168.150.136,DNS,175
23,8.884769,192.168.150.153,192.168.150.136,DNS,202
24,9.139798,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,406
25,9.139798,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,112
26,9.139908,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,74
27,9.232129,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,91
28,9.261373,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,87
29,9.531738,64:ff9b::8c52:721a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,100
30,9.532109,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::8c52:721a,TLSv1.2,104
31,9.938908,64:ff9b::8c52:721a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,76
32,12.802732,192.168.150.136,192.168.150.153,DNS,80
33,12.802866,192.168.150.136,192.168.150.153,DNS,80
34,12.802959,192.168.150.136,192.168.150.153,DNS,80
35,12.892499,192.168.150.153,192.168.150.136,DNS,136
36,12.902172,192.168.150.153,192.168.150.136,DNS,124
37,12.902492,192.168.150.153,192.168.150.136,DNS,158
38,12.904939,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,1292
39,12.9051,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,1292
40,12.905215,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,1292
41,12.905705,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,144
42,12.988217,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
43,12.988217,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
44,13.010763,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,1292
45,13.054258,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
46,13.054258,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,368
47,13.054258,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,986
48,13.054258,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,115
49,13.054258,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,86
50,13.054258,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
51,13.05534,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,140
52,13.055523,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,93
53,13.05606,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,1288
54,13.056131,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,1053
55,13.082844,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,182
56,13.083347,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,96
57,13.083477,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87
58,13.099758,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,91
59,13.100308,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,95
60,13.256579,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1288
61,13.256579,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,415
62,13.256854,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,96
63,13.256966,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,95
64,13.257185,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,126
65,13.257247,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,99
66,13.283417,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81a::200e,QUIC,96
67,13.305974,2404:6800:4002:81a::200e,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,86
68,13.450222,Intel_98:9e:73,0e:60:a2:c9:ef:75,ARP,42
69,13.451176,0e:60:a2:c9:ef:75,Intel_98:9e:73,ARP,42
70,13.804325,192.168.150.136,192.168.150.153,DNS,87
71,13.804723,192.168.150.136,192.168.150.153,DNS,87
72,13.805067,192.168.150.136,192.168.150.153,DNS,87
73,13.85172,192.168.150.153,192.168.150.136,DNS,115
74,13.867109,192.168.150.153,192.168.150.136,DNS,103
75,13.867109,192.168.150.153,192.168.150.136,DNS,112
76,13.870062,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,1292
77,13.870237,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,1292
78,13.870355,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,1292
79,13.874181,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,137
80,13.874723,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,634
81,13.946213,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
82,13.946213,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
83,13.974049,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,1292
84,14.008712,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
85,14.020837,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,131
86,14.020939,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
87,14.020939,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,370
88,14.020939,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,984
89,14.020999,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,86
90,14.022511,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,1292
91,14.022819,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,94
92,14.048334,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,182
93,14.048334,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,84
94,14.048937,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,93
95,14.106089,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,631
96,14.106089,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,250
97,14.1068,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:821::2002,QUIC,97
98,14.126066,2404:6800:4002:821::2002,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,89
99,14.711202,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,141
100,14.729887,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,95
101,15.377227,157.240.239.61,192.168.150.136,SSL,124
102,15.381723,192.168.150.136,157.240.239.61,SSL,118
103,15.393052,157.240.239.61,192.168.150.136,TCP,54
104,17.813048,192.168.150.136,192.168.150.153,DNS,79
105,17.81345,192.168.150.136,192.168.150.153,DNS,79
106,17.813784,192.168.150.136,192.168.150.153,DNS,79
107,17.831084,192.168.150.153,192.168.150.136,DNS,107
108,17.837073,192.168.150.153,192.168.150.136,DNS,129
109,17.837073,192.168.150.153,192.168.150.136,DNS,95
110,17.840191,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,1292
111,17.84036,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,1292
112,17.840479,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,1292
113,17.844708,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,143
114,17.949463,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
115,17.949463,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
116,17.949463,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
117,17.949463,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,370
118,17.949463,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,984
119,17.949463,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,115
120,17.951337,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,1292
121,17.951625,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,93
122,17.952382,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,1288
123,17.952504,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,1292
124,17.952594,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,1292
125,17.952802,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,430
126,17.952899,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,176
127,17.975867,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,86
128,18.044181,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,182
129,18.049199,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87
130,18.053933,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87
131,18.068926,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87
132,18.070971,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,91
133,18.071529,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,93
134,18.092772,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1288
135,18.092772,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,444
136,18.092772,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,96
137,18.093595,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,97
138,18.093786,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,228
139,18.094226,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c02::54,QUIC,93
140,18.11871,0e:60:a2:c9:ef:75,Intel_98:9e:73,ARP,42
141,18.118725,Intel_98:9e:73,0e:60:a2:c9:ef:75,ARP,42
142,18.209243,2404:6800:4003:c02::54,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,86
143,21.159731,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,120
144,21.169724,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
145,21.169935,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
146,21.192432,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
147,21.196814,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
148,22.819671,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374
149,22.819671,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,1374
150,22.819671,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,805
151,22.819788,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,1025
152,22.87881,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
153,22.893425,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
154,22.893425,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
155,23.13906,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,369
156,23.179827,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TCP,74
157,29.716168,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,91
158,29.759681,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,87
159,35.200071,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,141
160,35.200071,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,85
161,35.211016,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,95
162,35.217841,192.168.150.136,192.168.150.153,DNS,91
163,35.217979,192.168.150.136,192.168.150.153,DNS,91
164,35.218077,192.168.150.136,192.168.150.153,DNS,91
165,35.222514,192.168.150.153,192.168.150.136,DNS,119
166,35.222514,192.168.150.153,192.168.150.136,DNS,107
167,35.235019,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,1292
168,35.23508,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,1292
169,35.23644,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,139
170,35.236639,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,592
171,35.26043,192.168.150.153,192.168.150.136,DNS,141
172,35.308918,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
173,35.378153,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,1292
174,35.378153,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,368
175,35.378153,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,986
176,35.378153,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,137
177,35.378153,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,86
178,35.379796,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,1292
179,35.38009,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,93
180,35.407125,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,94
181,35.447451,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,182
182,35.459772,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,84
183,35.460074,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,93
184,35.601601,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,261
185,35.601601,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,83
186,35.602282,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:81c::200a,QUIC,97
187,35.607335,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,751
188,35.620848,2404:6800:4002:81c::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,QUIC,87
189,35.647031,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,92
190,35.66034,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,95
191,35.866974,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,156
192,35.883594,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4002:815::200a,UDP,100
193,35.919244,2404:6800:4002:815::200a,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,UDP,87
194,36.179964,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.2,120
195,36.185014,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
196,36.185135,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2620:1ec:21::14,TLSv1.2,116
197,36.219722,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
198,36.219722,2620:1ec:21::14,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
199,38.094079,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2404:6800:4003:c0f::bc,TCP,75
200,38.208977,2404:6800:4003:c0f::bc,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
201,38.808321,192.168.150.136,192.168.150.153,DNS,116
202,38.808798,192.168.150.136,192.168.150.153,DNS,116
203,38.809158,192.168.150.136,192.168.150.153,DNS,116
204,39.199293,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::3457:7a77,TCP,75
205,39.318376,192.168.150.153,192.168.150.136,DNS,144
206,39.328863,192.168.150.153,192.168.150.136,DNS,175
207,39.455447,64:ff9b::3457:7a77,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
208,39.500276,192.168.150.136,192.168.150.153,DNS,116
209,40.359173,192.168.150.153,192.168.150.136,DNS,132
210,40.360255,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::23e3:cb27,TCP,74
211,40.361142,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TCP,86
212,40.362971,192.168.150.153,192.168.150.136,DNS,132
213,40.380186,64:ff9b::23e3:cb27,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
214,40.380282,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::23e3:cb27,TCP,74
215,40.536278,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
216,40.536577,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TCP,74
217,40.53782,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TCP,1374
218,40.53782,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TLSv1.3,604
219,40.736539,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,76
220,40.736539,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,76
221,40.736684,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,1354
222,40.736684,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,1354
223,40.736723,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TCP,74
224,40.737475,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,1354
225,40.737475,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,330
226,40.737475,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,80
227,40.737519,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TCP,74
228,40.739175,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TLSv1.3,154
229,40.739334,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TLSv1.3,714
230,40.9086,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,409
231,40.9086,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,409
232,40.9086,64:ff9b::b928:e8a9,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,1139
233,40.908676,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,64:ff9b::b928:e8a9,TCP,74
234,40.911902,192.168.150.136,192.168.150.153,DNS,80
235,40.912098,192.168.150.136,192.168.150.153,DNS,80
236,40.912259,192.168.150.136,192.168.150.153,DNS,80
237,40.933462,192.168.150.153,192.168.150.136,DNS,147
238,40.933462,192.168.150.153,192.168.150.136,DNS,135
239,40.93797,192.168.150.153,192.168.150.136,DNS,172
240,40.939914,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2606:2800:247:b713:6f8:1d37:ecd5:e137,TCP,86
241,40.955376,2606:2800:247:b713:6f8:1d37:ecd5:e137,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,86
242,40.955536,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2606:2800:247:b713:6f8:1d37:ecd5:e137,TCP,74
243,40.956841,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2606:2800:247:b713:6f8:1d37:ecd5:e137,TCP,1294
244,40.956841,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2606:2800:247:b713:6f8:1d37:ecd5:e137,TLSv1.3,648
245,40.981507,2606:2800:247:b713:6f8:1d37:ecd5:e137,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
246,40.981507,2606:2800:247:b713:6f8:1d37:ecd5:e137,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TCP,74
247,40.982919,2606:2800:247:b713:6f8:1d37:ecd5:e137,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,TLSv1.3,173
248,40.983627,2409:40d0:3c:1240:8ce1:e08e:e26c:e093,2606:2800:247:b713:6f8:1d37:ecd5:e137,TLSv1.3,682
